p.adj.method	lib_cut	neg_lb	tol	max_iter	conserve	alpa	accuracy	f1_score
BH	60	FALSE	1e-04	175	TRUE	0.1	0.8928	0.229885057471264
BH	100	TRUE	1e-05	50	TRUE	0.02	0.8912	0.227272727272727
holm	90	TRUE	1e-05	50	FALSE	0.08	0.9008	0.205128205128205
bonferroni	10	FALSE	0.001	150	TRUE	0.1	0.9024	0.175675675675676
BH	90	FALSE	0.001	175	FALSE	0.07	0.8944	0.290322580645161
hommel	10	FALSE	0.001	50	FALSE	0.04	0.9008	0.205128205128205
holm	90	TRUE	0.001	75	TRUE	0.04	0.9024	0.175675675675676
BY	100	FALSE	1e-05	100	FALSE	0.07	0.8976	0.209876543209877
fdr	50	FALSE	1e-05	50	TRUE	0.05	0.8912	0.227272727272727
fdr	10	FALSE	0.001	175	FALSE	0.03	0.8944	0.290322580645161
bonferroni	60	FALSE	1e-05	175	FALSE	0.05	0.9008	0.194805194805195
bonferroni	90	FALSE	1e-06	100	TRUE	0.05	0.9024	0.175675675675676
hochberg	20	FALSE	1e-06	50	TRUE	0.06	0.9016	0.174496644295302
holm	80	FALSE	1e-06	75	TRUE	0.07	0.9024	0.175675675675676
fdr	100	TRUE	1e-06	50	TRUE	0.03	0.8912	0.227272727272727
holm	100	FALSE	1e-06	125	TRUE	0.06	0.9024	0.175675675675676
BH	20	FALSE	0.001	50	FALSE	0.02	0.896	0.308510638297872
BH	70	TRUE	1e-06	200	TRUE	0.05	0.8928	0.229885057471264
fdr	20	TRUE	1e-05	100	FALSE	0.06	0.8944	0.290322580645161
holm	90	TRUE	1e-06	50	FALSE	0.01	0.9008	0.205128205128205
holm	10	FALSE	0.001	75	TRUE	0.09	0.9024	0.175675675675676
fdr	30	FALSE	1e-06	100	TRUE	0.03	0.8928	0.229885057471264
fdr	70	TRUE	1e-06	200	FALSE	0.03	0.8944	0.290322580645161
bonferroni	90	TRUE	1e-04	175	FALSE	0.08	0.9008	0.194805194805195
hommel	40	FALSE	0.001	200	TRUE	0.07	0.9016	0.174496644295302
bonferroni	60	FALSE	1e-04	100	TRUE	0.09	0.9024	0.175675675675676
bonferroni	100	FALSE	1e-06	175	TRUE	0.02	0.9024	0.175675675675676
holm	60	FALSE	1e-06	125	TRUE	0.08	0.9024	0.175675675675676
holm	80	FALSE	1e-05	50	FALSE	0.08	0.9008	0.205128205128205
hommel	100	TRUE	1e-05	175	FALSE	0.08	0.9008	0.205128205128205
bonferroni	10	FALSE	1e-06	75	TRUE	0.04	0.9024	0.175675675675676
BH	100	TRUE	1e-05	100	TRUE	0.06	0.8928	0.229885057471264
bonferroni	40	FALSE	1e-04	175	FALSE	0.07	0.9008	0.194805194805195
bonferroni	60	TRUE	1e-06	200	FALSE	0.04	0.9008	0.194805194805195
bonferroni	70	FALSE	1e-05	150	TRUE	0.02	0.9024	0.175675675675676
bonferroni	100	TRUE	0.001	125	FALSE	0.07	0.9008	0.194805194805195
hochberg	90	FALSE	1e-06	50	TRUE	0.08	0.9016	0.174496644295302
hochberg	30	TRUE	0.001	125	FALSE	0.06	0.9008	0.205128205128205
BH	40	FALSE	0.001	100	TRUE	0.03	0.8928	0.229885057471264
hommel	30	TRUE	0.001	175	TRUE	0.08	0.9016	0.174496644295302
holm	100	FALSE	1e-04	125	FALSE	0.05	0.9008	0.205128205128205
