p.adj.method	lib_cut	neg_lb	tol	max_iter	conserve	alpa	accuracy	f1_score
BY	90	TRUE	1e-04	175	FALSE	0.07	0.8976	0.209876543209877
hommel	100	FALSE	1e-05	100	FALSE	0.09	0.9008	0.205128205128205
hommel	20	FALSE	1e-06	125	TRUE	0.06	0.9016	0.174496644295302
bonferroni	30	TRUE	1e-04	125	TRUE	0.06	0.9024	0.175675675675676
BY	80	TRUE	1e-05	125	TRUE	0.09	0.9008	0.205128205128205
fdr	80	TRUE	0.001	125	FALSE	0.04	0.8944	0.290322580645161
bonferroni	90	FALSE	1e-04	75	FALSE	0.08	0.9008	0.194805194805195
bonferroni	60	TRUE	1e-06	50	FALSE	0.06	0.9008	0.194805194805195
BH	70	TRUE	1e-05	150	FALSE	0.01	0.8944	0.290322580645161
BY	80	FALSE	1e-04	175	TRUE	0.05	0.9008	0.205128205128205
